Local Government,Facility,Equipment/Item,Remark as written up,Kept in the register
Napak,Napak Seed Secondary School,Wooden corks assorted sizes,no quantity written; on BUILDINGS form continuation,(blank)
Napak,Napak Seed Secondary School,Ammeters (9),on ICT form p.31; conflicts with 7+5+1=13 on FURNITURE form p.27,(blank)
Napak,Napak Seed Secondary School,"Beakers 250ml, 500ml, 100ml glass",on ICT form p.31; no quantities; see individual counts on FURNITURE form p.27,(blank)
Napak,Napak Seed Secondary School,Boiling tubes (100),on ICT form p.31; conflicts with 180 on FURNITURE form p.27,(blank)
Napak,Napak Seed Secondary School,Bunsen burners (10),on ICT form p.31; same count as FURNITURE form p.27,(blank)
Napak,Napak Seed Secondary School,Bulbs (20),on ICT form p.31; same count as FURNITURE form p.27,(blank)
Napak,Napak Seed Secondary School,2-unit science laboratory stool (96),written as '2 unit science lab technology stool',(blank)
Napak,Napak Seed Secondary School,Solar equipment and accessories,listed on SCHOOL FURNITURE form p.25,(blank)
Napak,Napak Seed Secondary School,"Solar panels (100W, 200W) monocrystalline",listed on SCHOOL FURNITURE form p.25; no quantity written,(blank)
Napak,Napak Seed Secondary School,Solar structure for solar panels,listed on SCHOOL FURNITURE form p.25; no quantity written,(blank)
Napak,Napak Seed Secondary School,"Charge controller 20A, 30A, 40A, 85A Victron",listed on SCHOOL FURNITURE form p.25; no quantity written,(blank)
Napak,Napak Seed Secondary School,"Pure sine wave inverter 350W, 800W, 800W, 1200W, 2000W, 300W Victron",listed on SCHOOL FURNITURE form p.25; no quantity written; wattages as written,wattages as written.
Napak,Napak Seed Secondary School,"VRLA sealed batteries 12V, 200AH RIesh",listed on SCHOOL FURNITURE form p.25; brand 'RIesh' unclear - see UNFILLED; no quantity written,(blank)
Napak,Napak Seed Secondary School,Wiring and accessories,listed on SCHOOL FURNITURE form p.25; no quantity written,(blank)
Napak,Napak Seed Secondary School,Earthing system,listed on SCHOOL FURNITURE form p.25; no quantity written,(blank)
Napak,Napak Seed Secondary School,Lightning protection system,listed on SCHOOL FURNITURE form p.25; no quantity written,(blank)
Napak,Napak Seed Secondary School,LED lights,listed on SCHOOL FURNITURE form p.27; no quantity; handwriting reads 'Led Crights',(blank)
Napak,Napak Seed Secondary School,Pendant lamps,listed on SCHOOL FURNITURE form p.27; no quantity; handwriting reads 'Pendent Cplys',(blank)
Napak,Napak Seed Secondary School,13A sockets,listed on SCHOOL FURNITURE form p.27; no quantity written,(blank)
Napak,Napak Seed Secondary School,Metal clad switches,listed on SCHOOL FURNITURE form p.27; no quantity written,(blank)
Napak,Napak Seed Secondary School,Irrigation system,listed on SCHOOL FURNITURE form p.27; no quantity written,(blank)
Napak,Napak Seed Secondary School,Network engineering,no quantity written; may refer to networking equipment or services,(blank)
Napak,Napak Seed Secondary School,Power controller (8),written as 'Power control(08)',(blank)
Napak,Napak Seed Secondary School,Library (1),written as 'Lib (1)'; could be 'Lab (1)' - verify,(blank)
Napak,Napak Seed Secondary School,Sciences (4),written as 'Scirena(s)(4)'; quantity may be 4 or 41 - verify,(blank)
Butaleja,Mazimasa HC III,"Bed, Pediatric Patient, With Mattress (5)",3 already used; 2 not yet used. The printed name on this row was not readable; the official checklist name is used.,3 already used; 2 not yet used.
Busia,Bumunji HC III,"Examination light, LED (1)",Functional; one is kept in the store; another is being used in the labour ward. Margin: store.,Functional; one is kept in the store; another is being used in the labour ward.
Busia,Bumunji HC III,Instrument Trolley (4),1 in OPD not in good working condition but they are using it. Margin: store.,1 in OPD not in good working condition but they are using it.
Busia,Bumunji HC III,Otoscope,Functional but kept in the store. Margin: store.,Functional but kept in the store.
Busia,Bumunji HC III,Patient Screen,"3 functional, 5 non functional; 3 non functional / broken but they use them; 2 are functional. Margin: store. Quantity on the page is unclear.","3 functional, 5 non functional; 3 non functional / broken but they use them; 2 are functional."
Busia,Bumunji HC III,"Weighing Scale, Infant (2)",They were kept in the store because they have no batteries. Margin: store.,They were kept in the store because they have no batteries.
Busia,Bumunji HC III,Wheel Chair (3),They were kept in the store; the Incharge said that they rarely get such case where a patient need a wheel chair. Margin: Masafu took 1.,They were kept in the store; the Incharge said that they rarely get such case where a patient need a wheel chair.
Busia,Bumunji HC III,Diagnostic Equipment Set for MCH,They pick some; they are functional but they kept in the store. Margin: store.,They pick some; they are functional but they kept in the store.
Busia,Bumunji HC III,Diagnostic Equipment Set for OPD,They are functional but they kept in the store in small and big boxes. Margin: store.,They are functional but they kept in the store in small and big boxes.
Busia,Bumunji HC III,"Glassware Set, Laboratory, Basic",They are functional and kept in the store. Margin: store.,They are functional and kept in the store.
Busia,Bumunji HC III,"Hollow Ware Set, Treatment (2)",Some are kept in store and others were taken to Masafu. Margin: store.,Some are kept in store and others were taken to Masafu.
Busia,Bumunji HC III,"Instrument Set, Dressing",They are kept in the store; they just pick when needed. Margin: store.,They are kept in the store; they just pick when needed.
Busia,Bumunji HC III,"Instrument Set, Basic ENT",Margin: store. Other columns left blank on the page.,(blank)
Busia,Bumunji HC III,"Pulse Oximeter, Hand held (2)",Functional in OPD but the other one was taken to Masafu Hospital. Margin quantity written as '2 1'.,Functional in OPD but the other one was taken to Masafu Hospital.
Busia,Bumunji HC III,Diagnostic Equipment Set for Ward,They good working in labour screen but majority are in the store. Margin: store.,They good working in labour screen but majority are in the store.
Busia,Bumunji HC III,"Hollow Ware Set, Ward",Functional; they were 5. Margin: store.,Functional; they were 5.
Busia,Bumunji HC III,"Instrument Set, Delivery",They were kept in the store. Margin: store.,They were kept in the store.
Busia,Bumunji HC III,"Instrument Set, Stitch Removing",Functional but kept in big boxes in the store. Margin: box in the store.,Functional but kept in big boxes in the store.
Busia,Bumunji HC III,Centrifuge (Electric) (1),Functional and 1 is in laboratory. Margin: Lab.,Functional and 1 is in laboratory.
Busia,Bumunji HC III,"Bag Valve mask (Ambu Bag), Neonatal",It was one and it was taken to Masafu Hospital. Margin: store.,It was one and it was taken to Masafu Hospital.
Bududa,Bubungi HC III,"Fetoscope, Doppler (2)",Item description on the page is too soft to settle.,(blank)
Bududa,Bubungi HC III,Bubble CPAP (2),Description wording on the page is odd for this item.,(blank)
Bulambuli,Bulaago HC III,Desk,Recorded on the page as office tables; N/R written in the count column.,N/R written in the count column.
Bulambuli,Bunangaka HC III,Drip Stand (14),Counts 08 and 06 are written separately on the page; carried as 14.,carried as 14.
Bulambuli,Bunangaka HC III,Height Meter (1),Handwriting under the printed Height Meter line may read weight meter.,(blank)
Bulambuli,Bunangaka HC III,Office Chair (7),Location split on the page; total count 07.,total count 07.
Bulambuli,Bunangaka HC III,Desk (8),Page also shows location splits; consultation figure soft (reads about 05 or 03 on different readings).,Page also shows location splits.
Bulambuli,Bwikhonge HC III,Stretcher,Checkmarked; no quantity written.,Checkmarked.
Sironko,Simu Pondo HC III,Gates (2) and fence (1),Count written as gates 02 / fence 01; fence figure soft.,(blank)
Sironko,Simu Pondo HC III,Water tanks (4),Count written as 03+1.,(blank)
Bukwo,Chepkwasta HC III,Stethoscope,original,(blank)
